,ticker,period,mktcap,tao1,tao2,vol
52,AKS_A K STEEL HOLDING CORP,1.0,nan,,,normalVol
53,ALB_ALBEMARLE CORP,1.0,nan,,,normalVol
54,ALK_ALASKA AIRGROUP INC,1.0,nan,1855.18461983,1429.61086925,decreacingVol
55,ALLE_ALLEGION PLC,1.0,nan,,,normalVol
56,ALL_ALLSTATE CORP,1.0,nan,,,normalVol
57,ALS_ALLIED STORES CORP,1.0,cap4,1808.56656557,5453.73266428,increasingVol
58,ALTR_ALTERA CORP,1.0,nan,,,normalVol
59,ALXN_ALEXION PHARMACEUTICALS INC,1.0,nan,,,normalVol
60,ALY_ALLIS CHALMERS ENERGY INC,1.0,nan,,,normalVol
61,AL_ALCAN INC,1.0,nan,,,normalVol
62,AMAT_APPLIED MATERIALS INC,1.0,cap1,2382.86484979,3730.34906808,increasingVol
63,AMBC_AMBAC FINANCIAL GROUP INC,1.0,nan,,,normalVol
64,AMCC_APPLIED MICRO CIRCUITS CORP,1.0,nan,,,normalVol
65,AMD_ADVANCED MICRO DEVICES INC,1.0,cap4,3791.61935607,4834.0087696,increasingVol
66,AME_AMETEK INC NEW,1.0,nan,,,normalVol
67,AME_AMETEK INC,1.0,cap2,628.01628689,789.59856373,increasingVol
68,AMF_A M F INC,1.0,cap2,1558.30366688,1716.68952525,normalVol
69,AMGN_AMGEN INC,1.0,nan,959.379459253,3356.61802117,increasingVol
70,AMG_AFFILIATED MANAGERS GROUP INC,1.0,nan,,,normalVol
71,AMH_AMDAHL CORP,1.0,cap2,2259.17686179,1783.34580951,decreacingVol
72,AMI_AMERICAN MEDICAL INTL INC,1.0,cap4,3074.16989965,2785.33225924,normalVol
73,AMO_AMERICAN MOTORS CORP,1.0,cap2,1781.41921252,1331.22891769,decreacingVol
74,AMP_A M P INC,1.0,cap5,1275.86618433,1590.08875686,increasingVol
75,AMP_AMERIPRISE FINANCIAL INC,1.0,nan,,,normalVol
76,AMT_ACME CLEVELAND CORP NEW,1.0,nan,,,normalVol
77,AMT_ACME CLEVELAND CORP,1.0,cap1,1346.11384302,1935.31100478,increasingVol
78,AMT_AMERICAN TOWER CORP NEW,1.0,nan,,,normalVol
79,AMT_AMERICAN TOWER CORP,1.0,nan,,,normalVol
80,AMX_AMAX INC,1.0,cap4,1247.67965022,1046.84512846,normalVol
81,AMZN_AMAZON COM INC,1.0,nan,,,normalVol
82,AM_AMERICAN GREETINGS CORP,1.0,nan,,,normalVol
83,ANDW_ANDREW CORP,1.0,cap1,854.138784093,3017.7069844,increasingVol
84,ANF_ABERCROMBIE & FITCH CO,1.0,nan,,,normalVol
85,ANR_ALPHA NATURAL RESOURCES INC,1.0,nan,,,normalVol
86,ANR_AMERICAN NATURAL RESOURCE CO,1.0,nan,427.191169027,1628.33368658,increasingVol
87,ANTM_ANTHEM INC,1.0,nan,,,normalVol
88,ANV_AEROQUIP VICKERS INC,1.0,nan,,,normalVol
89,AN_AMOCO CORP,1.0,nan,274.479061877,362.261785726,increasingVol
90,AN_AUTONATION INC DEL,1.0,nan,,,normalVol
91,AON_AON PLC,1.0,nan,,,normalVol
92,APA_APACHE CORP,1.0,cap1,1394.44850041,1132.71053872,decreacingVol
93,APCC_AMERICAN POWER CONVERSION CORP,1.0,nan,,,normalVol
94,APC_ANADARKO PETROLEUM CORP,1.0,nan,244.039292426,183.872280239,decreacingVol
95,APD_AIR PRODUCTS & CHEMICALS INC,1.0,cap4,1570.64654361,1910.65665009,increasingVol
96,APH_AMPHENOL CORP NEW,1.0,nan,,,normalVol
97,APOL_APOLLO EDUCATION GROUP INC,1.0,nan,,,normalVol
98,ARC_ATLANTIC RICHFIELD CO,1.0,cap5,1091.0376615,1784.92456564,increasingVol
99,ARG_AIRGAS INC,1.0,nan,,,normalVol
100,ARNC_ARCONIC INC,1.0,nan,,,normalVol
101,AR_ASARCO INC,1.0,cap3,1507.83970211,1559.96242621,normalVol
102,ASA_A S A GOLD & PRECIOUS METALS LTD,1.0,nan,,,normalVol
103,ASC_AMERICAN STORES CO NEW,1.0,cap4,883.054547016,1252.8627566,increasingVol
104,ASH_ASHLAND GLOBAL HOLDINGS INC,1.0,nan,,,normalVol
105,ASIX_ADVANSIX INC,1.0,nan,,,normalVol
106,ASND_ASCEND COMMUNICATIONS INC,1.0,nan,,,normalVol
107,ASN_ARCHSTONE COMMUNITIES TRUST,1.0,nan,,,normalVol
108,ASN_ARCHSTONE SMITH TRUST,1.0,nan,,,normalVol
109,ASO_AMSOUTH BANCORPORATION,1.0,cap1,324.553473499,566.74322909,increasingVol
110,ASR_AMSTAR CORP,1.0,nan,398.738683164,1015.78920884,increasingVol
111,AS_ARMCO INC,1.0,cap3,1049.51247852,1505.09010327,increasingVol
112,ATI_AIRTOUCH COMMUNICATIONS,1.0,nan,,,normalVol
113,ATI_ALLEGHENY TECHNOLOGIES,1.0,nan,,,normalVol
114,ATVI_ACTIVISION BLIZZARD INC,1.0,nan,,,normalVol
115,AT_ALLTEL CORP,1.0,nan,189.419638553,288.803949392,increasingVol
116,AVB_AVALON BAY COMMUNITIES INC,1.0,nan,,,normalVol
117,AVB_AVALONBAY COMMUNITIES INC,1.0,nan,,,normalVol
118,AVGO_BROADCOM LTD,1.0,nan,,,normalVol
119,AVP_AVON PRODUCTS INC,1.0,cap4,2005.35541809,2332.2511608,normalVol
120,AVY_AVERY DENNISON CORP,1.0,nan,,,normalVol
121,AV_AVAYA INC,1.0,nan,,,normalVol
122,AWE_A T & T CORP,1.0,nan,,,normalVol
123,AWE_A T & T WIRELESS SVCS INC,1.0,nan,,,normalVol
124,AWK_AMERICAN WATER WORKS CO INC,1.0,nan,,,normalVol
125,AW_ALLIED WASTE INDUSTRIES INC,1.0,nan,,,normalVol
126,AXO_AKZONA INC,1.0,nan,32.0040272409,219.995365684,increasingVol
127,AXP_AMERICAN EXPRESS CO,1.0,cap5,1878.24600034,2309.36350735,increasingVol
128,AYE_ALLEGHENY ENERGY INC,1.0,nan,,,normalVol
129,AYI_ACUITY BRANDS INC,1.0,nan,,,normalVol
130,AZA_ALZA CORP,1.0,nan,1604.50540744,2189.05662831,increasingVol
131,AZO_AUTOZONE INC,1.0,nan,,,normalVol
132,A_AGILENT TECHNOLOGIES INC,1.0,nan,,,normalVol
133,BAC_BANK OF AMERICA CORP,1.0,nan,,,normalVol
134,BAC_BANKAMERICA CORP,1.0,cap5,1224.81010432,2479.4721014,increasingVol
135,BAX_BAXTER INTERNATIONAL INC,1.0,nan,,,normalVol
136,BAY_BAY NETWORKS INC,1.0,nan,,,normalVol
137,BA_BOEING CO,1.0,cap5,2036.96524587,2215.04982678,normalVol
138,BBBY_BED BATH & BEYOND INC,1.0,nan,,,normalVol
139,BBI_BARNETT BANKS INC,1.0,nan,,,normalVol
140,BBL_BLUE BELL INC,1.0,nan,612.81107941,1036.23384408,increasingVol
141,BBT_B B & T CORP,1.0,nan,,,normalVol
142,BBY_BEST BUY COMPANY INC,1.0,nan,,,normalVol
143,BCO_BRINKS CO,1.0,nan,,,normalVol
144,BCR_BARD C R INC,1.0,cap2,1905.30568034,2521.7297363,increasingVol
145,BC_BRUNSWICK CORP,1.0,cap3,3511.36158549,2457.8894584,decreacingVol
146,BDK_BLACK & DECKER CORP,1.0,nan,977.477017215,1324.32580928,increasingVol
147,BDX_BECTON DICKINSON & CO,1.0,cap4,1379.31641294,2235.42594507,increasingVol
148,BEAM_BEAM INC,1.0,nan,,,normalVol
149,BEC_BECKMAN COULTER INC,1.0,nan,,,normalVol
150,BEL_BELDEN CORP,1.0,nan,,,normalVol
151,BEN_FRANKLIN RESOURCES INC,1.0,nan,8.74097834804,17.6234728053,increasingVol
152,BEV_BEVERLY ENTERPRISES INC,1.0,nan,,,normalVol
153,BFI_BROWNING FERRIS INDUSTRIES INC,1.0,cap4,1411.74763223,1382.08786574,normalVol
154,BFO_BESTFOODS,1.0,nan,,,normalVol
155,BF_BROWN FORMAN CORP,1.0,nan,,,normalVol
156,BGEN_BIOGEN INC,1.0,nan,,,normalVol
157,BGG_BRIGGS & STRATTON CORP,1.0,cap2,1066.66897124,1053.72649336,normalVol
158,BHI_BAKER HUGHES INC,1.0,nan,,,normalVol
159,BIG_BIG LOTS INC,1.0,nan,,,normalVol
160,BIIB_BIOGEN INC,1.0,nan,,,normalVol
161,BJS_B J SERVICES CO,1.0,nan,,,normalVol
162,BKB_BANKBOSTON CORP,1.0,nan,,,normalVol
163,BKI_BEKER INDUSTRIES CORP,1.0,cap1,1610.01908344,2025.02022921,increasingVol
164,BK_BANK OF NEW YORK MELLON CORP,1.0,nan,,,normalVol
165,BLK_BLACKROCK INC,1.0,nan,,,normalVol
166,BLL_BALL CORP,1.0,cap2,569.891865723,620.2269462,normalVol
167,BLS_BELLSOUTH CORP,1.0,nan,553.228627686,646.643274789,normalVol
168,BLY_BALLY ENTERTAINMENT CORP,1.0,nan,,,normalVol
169,BMC_B M C SOFTWARE INC,1.0,nan,,,normalVol
170,BMET_BIOMET INC,1.0,cap1,738.059318404,1783.88560892,increasingVol
171,BMG_BATTLE MOUNTAIN GOLD CO,1.0,nan,,,normalVol
172,BMS_BEMIS CO INC,1.0,cap1,514.964134345,542.180420049,normalVol
173,BMY_BRISTOL MYERS SQUIBB CO,1.0,nan,,,normalVol
174,BNL_BENEFICIAL CORP,1.0,cap3,1372.25000231,2758.79840666,increasingVol
175,BOAT_BOATMENS BANCSHARES INC,1.0,cap1,345.463120456,1194.58545026,increasingVol
176,BOL_BAUSCH & LOMB INC,1.0,cap3,2041.56461556,2314.96543978,normalVol
177,BOR_BURNS INTERNATIONAL SVCS CORP,1.0,nan,,,normalVol
178,BRCM_BROADCOM CORP,1.0,nan,,,normalVol
179,BRK_BROCKWAY INC NY,1.0,cap1,563.300185895,1142.54642008,increasingVol
180,BRL_BARR PHARMACEUTICALS INC,1.0,nan,,,normalVol
181,BRNO_BRUNOS INC,1.0,cap1,745.338702454,1300.86222407,increasingVol
182,BR_BURLINGTON RESOURCES INC,1.0,nan,,,normalVol
183,BSC_BEAR STEARNS COMPANIES INC,1.0,nan,539.957547591,279.195388137,decreacingVol
184,BSET_BASSETT FURNITURE INDUSTRIES INC,1.0,cap1,631.962096073,1133.78331924,increasingVol
185,BSX_BOSTON SCIENTIFIC CORP,1.0,nan,,,normalVol
186,BS_BETHLEHEM STEEL CORP,1.0,cap3,2085.11372589,3127.25080091,increasingVol
187,BTU_PEABODY ENERGY CORP,1.0,nan,,,normalVol
188,BT_BANKERS TRUST CORP,1.0,nan,,,normalVol
189,BUD_ANHEUSER BUSCH COS INC,1.0,cap5,1936.55220628,1754.50359993,normalVol
190,BUR_BURLINGTON INDUSTRIES INC NEW,1.0,nan,,,normalVol
191,BUR_BURLINGTON INDUSTRIES INC,1.0,cap3,1484.23769314,1691.84294807,normalVol
192,BVSN_BROADVISION INC,1.0,nan,,,normalVol
193,BV_BLOCKBUSTER ENTERTAINMENT CORP,1.0,nan,,,normalVol
194,BWA_BORGWARNER INC,1.0,nan,,,normalVol
195,BWN_BROWN COMPANY,1.0,nan,,,normalVol
196,BWY_BROADWAY STORES INC,1.0,nan,,,normalVol
197,BXLT_BAXALTA INC,1.0,nan,,,normalVol
198,BXP_BOSTON PROPERTIES INC,1.0,nan,,,normalVol
199,BX_BENDIX CORP,1.0,nan,133.710324671,536.032047829,increasingVol
200,CAG_CONAGRA BRANDS INC,1.0,nan,,,normalVol
201,CAH_CARDINAL HEALTH INC,1.0,nan,,,normalVol
202,CAL_CALERES INC,1.0,nan,,,normalVol
203,CAM_CAMERON INTERNATIONAL CORP,1.0,nan,,,normalVol
204,CAR_AVIS BUDGET GROUP INC,1.0,nan,,,normalVol
205,CAT_CATERPILLAR INC,1.0,nan,264.342515133,300.63986658,normalVol
206,CA_C A INC,1.0,nan,,,normalVol
207,CBB_CALIBER SYSTEM INC,1.0,nan,,,normalVol
208,CBE_COOPER INDUSTRIES PLC,1.0,nan,,,normalVol
209,CBG_C B R E GROUP INC,1.0,nan,,,normalVol
210,CBH_COMMERCE BANCORP INC NJ,1.0,nan,,,normalVol
211,CBK_CONTINENTAL BANK CORP,1.0,nan,,,normalVol
212,CBL_CORROON & BLACK CORP,1.0,cap1,1152.63281551,2063.03579837,increasingVol
213,CBM_CHESEBROUGH PONDS INC,1.0,cap4,1427.60565767,4638.76093192,increasingVol
214,CBS_C B S CORP NEW,1.0,nan,,,normalVol
215,CBS_C B S CORP,1.0,nan,,,normalVol
216,CBS_C B S INC,1.0,cap4,1919.71313144,4569.69750147,increasingVol
217,CB_CHUBB CORP,1.0,nan,1298.20680209,1121.25961952,normalVol
218,CB_CHUBB LTD,1.0,nan,,,normalVol
219,CCB_CAPITAL CITIES ABC INC,1.0,nan,550.049697347,415.847748779,decreacingVol
220,CCC_CONTINENTAL GROUP INC,1.0,nan,430.50348407,1245.18922727,increasingVol
221,CCE_COCA COLA EUROPEAN PARTNERS PLC,1.0,nan,,,normalVol
222,CCI_CITICORP,1.0,nan,671.100665789,465.16313777,decreacingVol
223,CCI_CITIGROUP INC,1.0,nan,,,normalVol
224,CCI_CROWN CASTLE INTERNATIONAL CORP,1.0,nan,,,normalVol
225,CCI_CROWN CASTLE INTL CORP NEW,1.0,nan,,,normalVol
226,CCK_CROWN HOLDINGS INC,1.0,nan,,,normalVol
227,CCL_CARNIVAL CORP,1.0,nan,,,normalVol
228,CDD_CORDANT TECHNOLOGIES INC,1.0,nan,,,normalVol
229,CEG_CONSTELLATION ENERGY GROUP INC,1.0,nan,,,normalVol
230,CELG_CELGENE CORP,1.0,nan,,,normalVol
231,CEM_CHEMFIRST INC,1.0,nan,,,normalVol
232,CEN_CERIDIAN CORP NEW,1.0,nan,,,normalVol
233,CEN_CERIDIAN CORP,1.0,nan,,,normalVol
234,CEPH_CEPHALON INC,1.0,nan,,,normalVol
235,CERN_CERNER CORP,1.0,nan,274.535849057,33.0722786647,decreacingVol
236,CE_CONCORD E F S INC,1.0,nan,,,normalVol
237,CFC_COUNTRYWIDE FINANCIAL CORP,1.0,nan,,,normalVol
238,CFG_CITIZENS FINANCIAL GROUP INC,1.0,nan,,,normalVol
239,CFL_CORESTATES FINANCIAL CORP,1.0,nan,,,normalVol
240,CFN_CAREFUSION CORP,1.0,nan,,,normalVol
241,CF_C F INDUSTRIES HOLDINGS INC,1.0,nan,,,normalVol
242,CF_CHARTER ONE FINANCIAL INC,1.0,nan,,,normalVol
243,CGG_CHICAGO PNEUMATIC TOOL CO,1.0,cap1,878.777684872,2421.94129488,increasingVol
244,CHA_CHAMPION INTERNATIONAL CORP,1.0,cap4,1595.3064897,2622.53473351,increasingVol
245,CHD_CHURCH & DWIGHT INC,1.0,nan,,,normalVol
246,CHIR_CHIRON CORP,1.0,nan,354.3842461,2712.45804815,increasingVol
247,CHI_CROUSE HINDS CO,1.0,nan,,,normalVol
248,CHK_CHESAPEAKE ENERGY CORP,1.0,nan,,,normalVol
249,CHM_CHAMPION SPARK PLUG CO,1.0,cap2,1093.97004948,1177.72809091,normalVol
250,CHRS_CHARMING SHOPPES INC,1.0,cap2,1208.55922721,2244.14401503,increasingVol
251,CHRW_CH ROBINSON WORLDWIDE INC,1.0,nan,,,normalVol
252,CHTR_CHARTER COMMUNICATIONS INC NEW,1.0,nan,,,normalVol
253,CHTR_CHARTER COMMUNICATIONS INC,1.0,nan,,,normalVol
254,CHU_CHURCHS FRIED CHICKEN INC,1.0,cap2,2936.42855334,3789.73099846,increasingVol
255,CIC_CONTINENTAL CORP,1.0,cap4,1113.71852784,1633.50299217,increasingVol
256,CIEN_CIENA CORP,1.0,nan,,,normalVol
257,CINF_CINCINNATI FINANCIAL CORP,1.0,cap1,251.170531514,664.42554432,increasingVol
258,CIN_CINERGY CORP,1.0,nan,,,normalVol
259,CIT_C I T GROUP INC NEW,1.0,nan,,,normalVol
260,CIT_C I T GROUP INC,1.0,nan,,,normalVol
261,CI_CIGNA CORP,1.0,nan,,,normalVol
262,CKL_CLARK EQUIPMENT CO,1.0,cap2,1540.88512503,1702.45728926,normalVol
263,CLF_CLEVELAND CLIFFS INC,1.0,nan,188.738996992,815.365929095,increasingVol
264,CLL_CONOCO INC,1.0,nan,,,normalVol
265,CLN_COLEMAN CO,1.0,nan,,,normalVol
266,CLU_CLUETT PEABODY & CO INC,1.0,cap1,1280.76023608,3393.73855418,increasingVol
267,CLX_CLOROX CO,1.0,cap3,2464.09878147,1988.27445601,decreacingVol
268,CL_COLGATE PALMOLIVE CO,1.0,cap4,1772.10155763,2319.1527331,increasingVol
269,CMA_COMERICA INC,1.0,nan,,,normalVol
270,CMB_CHASE MANHATTAN CORP NEW,1.0,nan,,,normalVol
271,CMB_CHASE MANHATTAN CORP,1.0,cap4,2757.01534365,3355.87400568,increasingVol
272,CMCSA_COMCAST CORP NEW,1.0,nan,,,normalVol
273,CMCSA_COMCAST CORP,1.0,cap1,1964.16662111,3098.54765204,increasingVol
274,CME_C M E GROUP INC,1.0,nan,,,normalVol
275,CMG_CHIPOTLE MEXICAN GRILL INC,1.0,nan,,,normalVol
276,CMI_CUMMINS INC,1.0,nan,,,normalVol
277,CMK_CARNATION COMPANY,1.0,nan,529.158180257,1181.79190203,increasingVol
278,CMS_C M S ENERGY CORP,1.0,nan,,,normalVol
279,CMVT_COMVERSE TECHNOLOGY INC,1.0,nan,212.958275518,25.4225394971,decreacingVol
280,CMX_CAREMARK RX INC,1.0,nan,,,normalVol
281,CNA_C N A FINANCIAL CORP,1.0,nan,,,normalVol
282,CNC_CENTENE CORP DEL,1.0,nan,,,normalVol
283,CNO_C N O FINANCIAL GROUP INC,1.0,nan,,,normalVol
284,CNP_CENTERPOINT ENERGY INC,1.0,nan,,,normalVol
285,CNT_CENTEL CORP,1.0,cap4,741.715960014,713.747291743,normalVol
286,CNW_C N W CORP,1.0,nan,643.93084851,565.41850982,normalVol
287,CNW_CON WAY INC,1.0,nan,,,normalVol
288,CNXT_CONEXANT SYSTEMS INC,1.0,nan,,,normalVol
289,CNX_CONSOL ENERGY INC,1.0,nan,,,normalVol
290,COC_CONOCO INC,1.0,nan,,,normalVol
291,COE_CONE MILLS CORP NC,1.0,nan,,,normalVol
292,COE_CONE MILLS CORP,1.0,nan,254.750868186,919.979422322,increasingVol
293,COF_CAPITAL ONE FINANCIAL CORP,1.0,nan,,,normalVol
294,COG_CABOT OIL & GAS CORP,1.0,nan,,,normalVol
295,COH_COACH INC,1.0,nan,,,normalVol
296,COL_ROCKWELL COLLINS INC,1.0,nan,,,normalVol
297,COMS_3COM CORP,1.0,nan,1406.48653566,2444.71765549,increasingVol
298,COO_COOPER COMPANIES INC,1.0,nan,,,normalVol
299,COP_CONOCOPHILLIPS,1.0,nan,,,normalVol
300,COST_COSTCO WHOLESALE CORP NEW,1.0,nan,,,normalVol
301,COST_COSTCO WHOLESALE CORP,1.0,nan,918.643750919,725.902385567,decreacingVol
302,COTY_COTY INC,1.0,nan,,,normalVol
303,COT_COLTEC INDUSTRIES INC,1.0,nan,,,normalVol
304,COV_COVANTA ENERGY CORP,1.0,nan,,,normalVol
305,COV_COVIDIEN LTD,1.0,nan,,,normalVol
306,COX_COX COMMUNICATION INC,1.0,nan,430.678035933,750.543099569,increasingVol
307,COX_COX COMMUNICATIONS INC NEW,1.0,nan,,,normalVol
308,CO_CHESSIE SYSTEM INC,1.0,nan,,,normalVol
309,CPB_CAMPBELL SOUP CO,1.0,cap4,604.013946093,946.255120363,increasingVol
310,CPGX_COLUMBIA PIPELINE GROUP INC,1.0,nan,,,normalVol
311,CPN_CALPINE CORP,1.0,nan,,,normalVol
312,CPQ_COMPAQ COMPUTER CORP,1.0,nan,1615.01922276,1483.78650886,normalVol
313,CPS_COLUMBIA PICTURES INDS INC DE,1.0,nan,654.6479549,321.284801177,decreacingVol
314,CPWR_COMPUWARE CORP,1.0,nan,,,normalVol
315,CRF_COPELAND CORP,1.0,nan,,,normalVol
316,CRK_CAMPBELL RED LAKE MINES LTD,1.0,cap3,661.28682752,915.513113805,increasingVol
317,CRM_SALESFORCE COM INC,1.0,nan,,,normalVol
318,CRR_CONRAIL INC,1.0,nan,,,normalVol
319,CR_CRANE CO,1.0,cap2,1224.88648131,1144.9320101,normalVol
320,CSCO_CISCO SYSTEMS INC,1.0,nan,,,normalVol
321,CSE_CASE CORP,1.0,nan,,,normalVol
322,CSP_COMBUSTION ENGINEERING INC,1.0,cap3,1200.1360658,1452.41444402,increasingVol
323,CSRA_C S R A INC,1.0,nan,,,normalVol
324,CSR_CENTRAL & SOUTH WEST CORP,1.0,cap4,1217.14378048,1376.03690493,normalVol
325,CSX_C S X CORP,1.0,cap5,1259.13654402,1602.05120915,increasingVol
326,CTAS_CINTAS CORP,1.0,nan,586.170065941,585.127741144,normalVol
327,CTB_COOPER TIRE & RUBBER CO,1.0,cap1,1632.55869733,956.559005968,decreacingVol
328,CTCO_CROSS & TRECKER CORP,1.0,cap1,2483.98047345,4456.14903806,increasingVol
329,CTC_CONTEL CORP,1.0,nan,199.157208958,232.636701003,normalVol
330,CTL_CENTURYLINK INC,1.0,nan,,,normalVol
331,CTSH_COGNIZANT TECHNOLOGY SOLS CORP,1.0,nan,,,normalVol
332,CTXS_CITRIX SYSTEMS INC,1.0,nan,,,normalVol
333,CTX_CENTEX CORP,1.0,cap2,999.224691596,1692.44447829,increasingVol
334,CUE_QUANTUM CHEMICAL CORPORATION,1.0,nan,,,normalVol
335,CUL_CULLINET SOFTWARE INC,1.0,cap2,1649.09525258,3301.02835566,increasingVol
336,CVG_CONVERGYS CORP,1.0,nan,,,normalVol
337,CVH_COVENTRY HEALTH CARE INC,1.0,nan,,,normalVol
338,CVN_C & S SOVRAN CORP,1.0,nan,,,normalVol
339,CVN_COMPUTERVISION CORP NEW,1.0,nan,,,normalVol
340,CVN_COMPUTERVISION CORP,1.0,cap3,3291.05975494,3399.84932462,normalVol
341,CVS_C V S HEALTH CORP,1.0,nan,,,normalVol
342,CVX_CHEVRON CORP NEW,1.0,nan,,,normalVol
343,CXO_CONCHO RESOURCES INC,1.0,nan,,,normalVol
344,CYM_CYPRUS AMAX MINERALS CO,1.0,nan,,,normalVol
345,CYR_CRAY RESEARCH INC,1.0,cap3,3353.58693996,4223.07116797,increasingVol
346,CZR_CAESARS ENTERTAINMENT CORP,1.0,nan,,,normalVol
347,CZ_CELANESE CORP,1.0,cap4,2090.9291653,2886.85116934,increasingVol
348,C_CHRYSLER CORP,1.0,cap5,3751.0412754,3066.69992072,decreacingVol
349,C_CITIGROUP INC,1.0,nan,,,normalVol
350,DAL_DELTA AIR LINES INC,1.0,cap4,3819.79829481,4152.53277002,normalVol
351,DAN_DANA INC,1.0,nan,,,normalVol
352,DDR_D D R CORP,1.0,nan,,,normalVol
353,DDS_DILLARDS INC,1.0,nan,,,normalVol
354,DD_DU PONT E I DE NEMOURS & CO,1.0,cap5,662.280240546,994.517938921,increasingVol
355,DEC_DIGITAL EQUIPMENT CORP,1.0,cap5,4598.36952025,4557.6863014,normalVol
356,DEN_DENNYS INC,1.0,nan,1869.52715393,2093.75361587,normalVol
357,DE_DEERE & CO,1.0,cap4,1532.80877967,1714.27111573,normalVol
358,DFS_DISCOVER FINANCIAL SERVICES,1.0,nan,,,normalVol
359,DF_DEAN FOODS CO NEW,1.0,nan,,,normalVol
360,DF_DEAN FOODS CO,1.0,cap2,421.826032893,694.444289107,increasingVol
361,DGN_DATA GENERAL CORP,1.0,cap3,5822.79881417,5549.68913889,normalVol
362,DGX_QUEST DIAGNOSTICS INC,1.0,nan,,,normalVol
363,DG_ASSOCIATED DRY GOODS CORP,1.0,cap3,2574.27924,4145.67645509,increasingVol
